13	804	1732
1	63	380.3328857421875	144.7954559326172
2	63	328.2492980957031	144.91891479492188
3	63	256.5969543457031	146.60845947265625
1	64	380.3328857421875	144.7954559326172
2	64	328.2492980957031	144.91891479492188
1	65	382.080810546875	125.53550720214844
2	65	329.97845458984375	125.85592651367188
1	66	382.5683288574219	254.30380249023438
2	66	331.4105529785156	254.41790771484375
1	67	385.16119384765625	280.1885986328125
2	67	334.234130859375	280.3539123535156
1	68	392.4849853515625	259.6287536621094
2	68	341.0328674316406	259.7711486816406
1	69	394.9037780761719	256.8804016113281
2	69	343.7516784667969	256.8999938964844
1	70	397.1017150878906	170.027099609375
2	70	345.1636047363281	170.38616943359375
1	71	397.1017150878906	170.027099609375
2	71	345.1636047363281	170.38616943359375
4	71	208.22763061523438	171.24118041992188
1	72	396.1544494628906	272.0909423828125
2	72	345.2476501464844	272.1277160644531
1	73	396.1544494628906	272.0909423828125
2	73	345.2476501464844	272.1277160644531
1	74	401.7502746582031	182.5230255126953
2	74	349.8375549316406	182.6914520263672
1	75	407.1778259277344	193.1027374267578
2	75	355.1520690917969	193.25970458984375
1	76	407.9986572265625	261.753662109375
2	76	356.52325439453125	261.8134460449219
1	77	407.744384765625	349.3722839355469
2	77	356.91448974609375	348.91973876953125
1	78	409.0381164550781	249.22406005859375
2	78	357.6922912597656	249.24819946289062
3	78	287.2238464355469	251.60330200195312
1	79	411.93597412109375	238.41197204589844
2	79	360.4406433105469	238.38693237304688
1	80	415.38836669921875	342.0751647949219
2	80	364.3428039550781	341.4427795410156
1	81	415.6755065917969	319.9133605957031
2	81	364.57867431640625	319.61456298828125
1	82	419.8321228027344	222.54991149902344
2	82	368.17822265625	222.53968811035156
3	82	297.51800537109375	224.81350708007812
1	83	424.9609680175781	360.5105895996094
2	83	373.6312255859375	360.1065979003906
1	84	427.5713195800781	229.95394897460938
2	84	375.660400390625	229.87815856933594
1	85	445.298583984375	288.61798095703125
2	85	393.344970703125	287.94281005859375
3	85	322.9571533203125	289.7620544433594
4	85	259.885498046875	289.240234375
1	86	449.5442199707031	137.8419647216797
2	86	396.0673522949219	138.8697509765625
1	87	448.49810791015625	295.9395751953125
2	87	396.49688720703125	295.407958984375
4	87	263.35748291015625	296.2713928222656
1	88	450.9739990234375	373.9295959472656
2	88	399.23175048828125	372.0539855957031
1	89	456.0438232421875	348.43243408203125
2	89	404.1299743652344	346.9608459472656
3	89	334.12774658203125	348.346923828125
1	90	457.94757080078125	258.2853088378906
2	90	405.56927490234375	257.69256591796875
1	91	467.7333068847656	215.45164489746094
2	91	414.5119323730469	215.35491943359375
1	92	467.04534912109375	359.8131103515625
2	92	414.88372802734375	358.1421813964844
1	93	474.9486999511719	229.4995574951172
2	93	421.4830017089844	229.30780029296875
1	94	475.1067810058594	281.09857177734375
2	94	422.06451416015625	280.1918640136719
1	95	475.1067810058594	281.09857177734375
2	95	422.06451416015625	280.1918640136719
1	96	477.0106201171875	162.84986877441406
2	96	422.7604675292969	163.63609313964844
1	97	481.9796142578125	227.69265747070312
2	97	428.2298583984375	227.538330078125
1	98	483.28662109375	429.2166442871094
2	98	430.9923400878906	426.1374816894531
1	99	489.75860595703125	149.7671661376953
2	99	434.8248596191406	150.83673095703125
1	100	489.1207580566406	390.9959716796875
2	100	436.05902099609375	388.3069152832031
1	101	492.5661926269531	157.31910705566406
2	101	437.55133056640625	158.42327880859375
1	102	493.9677734375	266.89599609375
2	102	440.00103759765625	265.9527893066406
1	103	508.67431640625	292.0874328613281
2	103	454.10638427734375	290.6183166503906
3	103	381.9906311035156	291.5821838378906
4	103	318.8397521972656	289.57281494140625
1	104	509.6842041015625	271.03277587890625
2	104	454.8365478515625	269.75238037109375
5	104	245.9535675048828	263.9680480957031
1	105	510.37249755859375	307.6354675292969
2	105	455.9908142089844	305.7674560546875
1	106	511.00531005859375	241.59747314453125
2	106	456.0079650878906	241.1262664794922
1	107	517.6651611328125	286.45849609375
2	107	462.69549560546875	284.9977722167969
1	108	519.65234375	124.96672058105469
2	108	463.48150634765625	126.76395416259766
1	109	521.4749755859375	431.6669921875
2	109	467.9267883300781	427.7380065917969
1	110	528.0004272460938	106.7671127319336
2	110	470.7662658691406	108.95281982421875
1	111	527.8953857421875	259.2728576660156
2	111	472.1888732910156	258.35699462890625
1	112	529.2279663085938	125.94547271728516
2	112	472.1952209472656	127.75108337402344
1	113	533.8651733398438	255.24244689941406
2	113	477.98052978515625	254.25942993164062
7	113	118.54165649414062	220.426025390625
1	114	543.57080078125	331.8652038574219
2	114	487.5785217285156	329.0401611328125
1	115	549.12646484375	193.9227752685547
2	115	491.6309814453125	194.3368377685547
1	116	557.618408203125	118.21331787109375
2	116	499.6039733886719	120.19070434570312
3	116	423.02398681640625	125.32359313964844
5	116	281.11773681640625	118.19033813476562
1	117	558.711669921875	165.08428955078125
2	117	500.7048645019531	166.12001037597656
1	118	573.8973999023438	125.92755126953125
2	118	515.0580444335938	127.84333038330078
1	119	574.1068115234375	322.9131774902344
2	119	516.5299072265625	319.84228515625
1	120	576.0784912109375	272.0314636230469
2	120	517.5569458007812	270.34454345703125
1	121	580.0176391601562	141.09812927246094
2	121	520.8804931640625	142.6311492919922
1	122	588.7887573242188	237.121337890625
2	122	529.6110229492188	236.2748565673828
1	123	591.1754760742188	154.48480224609375
2	123	531.610595703125	155.73110961914062
1	124	591.7468872070312	107.62996673583984
2	124	531.9462890625	109.87167358398438
1	125	591.5186157226562	115.92552947998047
2	125	531.9960327148438	117.92744445800781
1	126	591.3070068359375	272.0047912597656
2	126	532.4073486328125	270.10498046875
1	127	591.3070068359375	272.0047912597656
2	127	532.4073486328125	270.10498046875
1	128	593.8427734375	124.8448715209961
2	128	534.2492065429688	126.6904525756836
1	129	593.8427734375	124.8448715209961
2	129	534.2492065429688	126.6904525756836
1	130	597.2492065429688	118.4111557006836
2	130	537.289306640625	120.44381713867188
1	131	597.2492065429688	118.4111557006836
2	131	537.289306640625	120.44381713867188
1	132	599.9228515625	372.07745361328125
2	132	541.91748046875	367.56634521484375
1	133	600.4828491210938	350.0111389160156
2	133	542.1792602539062	345.9713439941406
1	134	604.2302856445312	242.04234313964844
2	134	544.4261474609375	240.84120178222656
0	135	284.228759765625	117.59827423095703
2	135	183.88882446289062	117.93932342529297
3	135	105.87848663330078	116.17350006103516
0	136	394.8718566894531	258.8489685058594
2	136	295.6555480957031	258.8027038574219
0	137	412.37109375	167.76956176757812
2	137	310.45953369140625	168.0487518310547
0	138	417.6605529785156	249.86537170410156
2	138	317.5238342285156	249.2987518310547
0	139	428.9071960449219	181.22579956054688
2	139	326.8406982421875	181.27987670898438
0	140	431.80926513671875	193.02674865722656
2	140	329.9366455078125	192.81983947753906
3	140	258.7978515625	194.8843231201172
4	140	192.95509338378906	194.0295867919922
0	141	438.66876220703125	254.1441650390625
2	141	338.1268005371094	253.0809326171875
0	142	447.1648864746094	249.3022003173828
2	142	346.1456298828125	248.16973876953125
0	143	452.84375	182.77230834960938
2	143	349.8375549316406	182.6914520263672
0	144	461.7344970703125	235.047119140625
2	144	359.56488037109375	233.88970947265625
2	145	236.17340087890625	123.87801361083984
3	145	161.75389099121094	123.15323638916016
2	146	301.987060546875	444.22882080078125
3	146	232.39306640625	450.1614074707031
2	147	301.987060546875	444.22882080078125
3	147	232.39306640625	450.1614074707031
2	148	326.8406982421875	181.27987670898438
3	148	255.675537109375	183.2397003173828
2	149	350.3354187011719	148.871337890625
3	149	278.88580322265625	150.86776733398438
2	150	348.98223876953125	377.9399108886719
3	150	279.64654541015625	381.02825927734375
2	151	361.8083190917969	190.09683227539062
3	151	290.870361328125	192.0677947998047
2	152	367.1890563964844	193.8064727783203
3	152	296.28424072265625	196.0482177734375
2	153	372.8321838378906	195.86997985839844
3	153	301.84442138671875	198.08641052246094
2	154	377.95098876953125	333.27838134765625
3	154	308.22113037109375	335.3528747558594
2	155	377.676025390625	449.6455078125
3	155	308.6589660644531	451.6909484863281
2	156	384.0858154296875	26.17254066467285
3	156	312.2358093261719	29.062274932861328
2	157	385.2576599121094	296.1130065917969
3	157	315.087890625	298.2401428222656
5	157	177.13937377929688	294.31793212890625
2	158	386.4717102050781	190.44976806640625
3	158	315.3319091796875	192.8640899658203
2	159	387.48443603515625	455.4580993652344
3	159	318.5799560546875	456.96588134765625
2	160	397.9658508300781	240.98464965820312
3	160	327.06207275390625	243.07174682617188
2	161	398.0606994628906	267.3683166503906
3	161	327.3283386230469	269.2991638183594
4	161	264.0236511230469	268.4026794433594
2	162	400.57049560546875	134.0498046875
3	162	328.43682861328125	136.99952697753906
2	163	410.06671142578125	352.9618225097656
3	163	339.9456787109375	354.09295654296875
4	163	277.87713623046875	352.9894714355469
2	164	424.7144470214844	334.190185546875
3	164	353.8186950683594	335.04339599609375
2	165	424.7899475097656	360.2593688964844
3	165	354.1438293457031	361.1827697753906
2	166	428.3783264160156	391.06756591796875
3	166	357.9695129394531	391.24432373046875
2	167	433.49365234375	238.80813598632812
3	167	361.7864990234375	240.7678985595703
2	168	436.6783142089844	138.8630828857422
3	168	363.63116455078125	142.420654296875
2	169	445.9039001464844	163.08370971679688
3	169	372.690185546875	166.2136993408203
4	169	307.89947509765625	165.14430236816406
2	170	454.821533203125	262.1307678222656
3	170	382.5440368652344	263.5772705078125
6	170	163.43804931640625	248.5487518310547
2	171	457.5380859375	225.59335327148438
3	171	384.6447448730469	227.64979553222656
4	171	320.7050476074219	226.07977294921875
5	171	246.75784301757812	220.3544921875
2	172	458.44390869140625	289.7493591308594
3	172	386.1617736816406	290.62469482421875
2	173	466.82586669921875	141.97613525390625
3	173	392.5154724121094	145.94491577148438
2	174	466.9895935058594	279.203857421875
3	174	394.3216247558594	280.0685119628906
4	174	330.774658203125	277.9403991699219
5	174	258.0121765136719	272.3454284667969
6	174	176.86000061035156	264.8111267089844
2	175	469.0005187988281	268.97564697265625
3	175	395.9311828613281	270.07330322265625
2	176	469.0005187988281	268.97564697265625
3	176	395.9311828613281	270.07330322265625
2	177	471.9774475097656	248.0269317626953
3	177	398.55279541015625	249.5725860595703
2	178	478.1049499511719	227.18678283691406
3	178	404.15106201171875	229.2041015625
2	179	494.3078308105469	299.5582580566406
3	179	419.9573059082031	299.53533935546875
2	180	495.45770263671875	237.18612670898438
3	180	420.38128662109375	239.08750915527344
2	181	495.9500427246094	308.1415710449219
3	181	421.7689208984375	307.95428466796875
6	181	206.5172576904297	291.4210510253906
2	182	497.4083557128906	209.18064880371094
3	182	422.0109558105469	211.63917541503906
2	183	500.88916015625	227.93516540527344
